id,project,start,end
3,DSION PROPERTIES,07/10/2013 13:48:12,07/10/2013 13:48:24
2,DSION PROPERTIES,07/10/2013 13:48:13,07/10/2013 13:48:25
3,DSION PROPERTIES,07/10/2013 13:48:24,07/10/2013 13:48:42
2,DSION PROPERTIES,07/10/2013 13:48:36,07/10/2013 13:48:50
4,DSION PROPERTIES,07/10/2013 13:46:29,07/10/2013 13:49:27
3,DSION PROPERTIES,07/10/2013 13:49:06,07/10/2013 13:49:46
2,DSION PROPERTIES,07/10/2013 13:48:59,07/10/2013 13:49:52
3,DSION PROPERTIES,07/10/2013 13:50:57,07/10/2013 13:51:10
2,DSION PROPERTIES,07/10/2013 13:50:52,07/10/2013 13:51:25
2,DSION PROPERTIES,07/10/2013 13:51:27,07/10/2013 13:51:40
3,DSION PROPERTIES,07/10/2013 13:51:15,07/10/2013 13:51:46
4,DSION PROPERTIES,07/10/2013 13:51:28,07/10/2013 13:51:49
4,DSION PROPERTIES,07/10/2013 13:51:52,07/10/2013 13:52:07
5,DSION PROPERTIES,07/10/2013 13:51:38,07/10/2013 13:52:07
3,DSION PROPERTIES,07/10/2013 13:52:00,07/10/2013 13:52:11
2,DSION PROPERTIES,07/10/2013 13:52:05,07/10/2013 13:52:29
2,DSION PROPERTIES,07/10/2013 13:53:15,07/10/2013 13:53:28
3,DSION PROPERTIES,07/10/2013 13:53:17,07/10/2013 13:53:40
3,DSION PROPERTIES,07/10/2013 13:53:49,07/10/2013 13:53:50
3,DSION PROPERTIES,07/10/2013 13:54:03,07/10/2013 13:54:16
3,DSION PROPERTIES,07/10/2013 13:54:19,07/10/2013 13:54:30
3,DSION PROPERTIES,07/10/2013 13:55:31,07/10/2013 13:56:02
2,DSION PROPERTIES,07/10/2013 13:55:51,07/10/2013 13:56:06
5,DSION PROPERTIES,07/10/2013 13:55:57,07/10/2013 13:56:08
2,DSION PROPERTIES,07/10/2013 13:58:49,07/10/2013 13:59:03
2,DSION PROPERTIES,07/10/2013 13:59:10,07/10/2013 13:59:21
2,DSION PROPERTIES,07/10/2013 14:00:00,07/10/2013 14:00:17
5,DSION PROPERTIES,07/10/2013 13:56:14,07/10/2013 14:01:18
2,DSION PROPERTIES,07/10/2013 14:01:15,07/10/2013 14:01:34
1,DSION PROPERTIES,07/10/2013 13:40:20,07/10/2013 14:02:11
1,DSION PROPERTIES,07/10/2013 14:02:23,07/10/2013 14:04:21
2,DSION PROPERTIES,07/10/2013 14:04:13,07/10/2013 14:04:24
1,DSION PROPERTIES,07/10/2013 14:10:45,07/10/2013 14:11:08
1,DSION PROPERTIES,07/10/2013 14:14:10,07/10/2013 14:14:24
1,DSION PROPERTIES,07/10/2013 14:14:35,07/10/2013 14:14:46
1,DSION PROPERTIES,07/10/2013 14:14:50,07/10/2013 14:15:05
1,DSION PROPERTIES,07/10/2013 14:15:53,07/10/2013 14:16:07
2,DSION PROPERTIES,07/10/2013 14:09:22,07/10/2013 14:25:45
2,DSION PROPERTIES,07/10/2013 14:25:49,07/10/2013 14:26:10
1,DSION PROPERTIES,07/10/2013 14:26:01,07/10/2013 14:26:16
1,DSION PROPERTIES,07/10/2013 14:30:45,07/10/2013 14:31:08
1,DSION PROPERTIES,07/10/2013 14:31:41,07/10/2013 14:31:54
3,DSION PROPERTIES,07/10/2013 14:34:37,07/10/2013 14:35:35
4,DSION PROPERTIES,07/10/2013 14:35:53,07/10/2013 14:36:05
1,DSION PROPERTIES,07/10/2013 14:32:41,07/10/2013 14:36:47
1,DSION PROPERTIES,07/10/2013 14:37:15,07/10/2013 14:37:26
3,DSION PROPERTIES,07/10/2013 14:35:39,07/10/2013 14:37:27
5,DSION PROPERTIES,07/10/2013 14:31:06,07/10/2013 14:38:39
3,DSION PROPERTIES,07/10/2013 14:38:59,07/10/2013 14:39:14
3,DSION PROPERTIES,07/10/2013 14:39:42,07/10/2013 14:39:53
3,DSION PROPERTIES,07/10/2013 14:40:11,07/10/2013 14:40:24
5,DSION PROPERTIES,07/10/2013 14:38:49,07/10/2013 14:42:14
5,DSION PROPERTIES,07/10/2013 14:43:21,07/10/2013 14:43:32
5,DSION PROPERTIES,07/10/2013 14:43:36,07/10/2013 14:43:58
5,DSION PROPERTIES,07/10/2013 14:44:02,07/10/2013 14:44:17
5,DSION PROPERTIES,07/10/2013 14:45:30,07/10/2013 14:45:45
3,DSION PROPERTIES,07/10/2013 14:45:37,07/10/2013 14:45:48
5,DSION PROPERTIES,07/10/2013 14:54:17,07/10/2013 14:54:42
3,DSION PROPERTIES,07/10/2013 14:53:35,07/10/2013 15:02:01
3,DSION PROPERTIES,07/10/2013 15:07:54,07/10/2013 15:08:08
5,DSION PROPERTIES,07/10/2013 14:55:33,07/10/2013 15:10:56
2,DSION PROPERTIES,07/10/2013 14:30:56,07/10/2013 15:12:17
5,DSION PROPERTIES,07/10/2013 15:12:07,07/10/2013 15:12:18
5,DSION PROPERTIES,07/10/2013 15:13:43,07/10/2013 15:16:27
2,DSION PROPERTIES,07/10/2013 15:16:12,07/10/2013 15:16:33
5,DSION PROPERTIES,07/10/2013 15:16:45,07/10/2013 15:17:05
5,DSION PROPERTIES,07/10/2013 15:18:57,07/10/2013 15:19:14
5,DSION PROPERTIES,07/10/2013 15:19:29,07/10/2013 15:19:54
3,DSION PROPERTIES,07/10/2013 15:20:22,07/10/2013 15:20:34
3,DSION PROPERTIES,07/10/2013 15:21:00,07/10/2013 15:21:35
5,DSION PROPERTIES,07/10/2013 15:20:11,07/10/2013 15:21:38
5,DSION PROPERTIES,07/10/2013 15:21:59,07/10/2013 15:22:16
3,DSION PROPERTIES,07/10/2013 15:22:04,07/10/2013 15:22:42
3,DSION PROPERTIES,07/10/2013 15:22:45,07/10/2013 15:22:59
5,DSION PROPERTIES,07/10/2013 15:22:48,07/10/2013 15:23:24
3,DSION PROPERTIES,07/10/2013 15:23:11,07/10/2013 15:23:41
3,DSION PROPERTIES,07/10/2013 15:23:44,07/10/2013 15:24:09
5,DSION PROPERTIES,07/10/2013 15:23:56,07/10/2013 15:24:13
5,DSION PROPERTIES,07/10/2013 15:24:28,07/10/2013 15:24:41
3,DSION PROPERTIES,07/10/2013 15:26:01,07/10/2013 15:26:15
3,DSION PROPERTIES,07/10/2013 15:27:08,07/10/2013 15:27:35
5,DSION PROPERTIES,07/10/2013 15:25:03,07/10/2013 15:28:13
5,DSION PROPERTIES,07/10/2013 15:28:25,07/10/2013 15:28:37
5,DSION PROPERTIES,07/10/2013 15:29:29,07/10/2013 15:29:44
5,DSION PROPERTIES,07/10/2013 15:29:56,07/10/2013 15:35:58
5,DSION PROPERTIES,07/10/2013 15:37:02,07/10/2013 15:37:22
5,DSION PROPERTIES,07/10/2013 15:37:34,07/10/2013 15:37:46
5,DSION PROPERTIES,07/10/2013 15:38:11,07/10/2013 15:38:23
2,DSION PROPERTIES,07/10/2013 15:16:34,07/10/2013 15:44:53
5,DSION PROPERTIES,07/10/2013 15:44:23,07/10/2013 15:45:00
5,DSION PROPERTIES,07/10/2013 15:46:42,07/10/2013 15:47:01
2,DSION PROPERTIES,07/10/2013 15:50:40,07/10/2013 15:57:25
2,DSION PROPERTIES,07/10/2013 15:58:39,07/10/2013 15:58:54
5,DSION PROPERTIES,07/10/2013 15:49:18,07/10/2013 16:00:25
5,DSION PROPERTIES,07/10/2013 16:02:18,07/10/2013 16:02:31
2,DSION PROPERTIES,07/10/2013 16:04:43,07/10/2013 16:05:01
3,DSION PROPERTIES,07/10/2013 16:06:37,07/10/2013 16:06:54
3,DSION PROPERTIES,07/10/2013 16:07:06,07/10/2013 16:07:19
3,DSION PROPERTIES,07/10/2013 16:08:48,07/10/2013 16:09:02
1,DSION PROPERTIES,07/10/2013 16:10:24,07/10/2013 16:10:38
3,DSION PROPERTIES,07/10/2013 16:10:19,07/10/2013 16:10:46
3,DSION PROPERTIES,07/10/2013 16:11:30,07/10/2013 16:11:41
3,DSION PROPERTIES,07/10/2013 16:12:34,07/10/2013 16:12:45
1,DSION PROPERTIES,07/10/2013 16:12:39,07/10/2013 16:12:53
4,DSION PROPERTIES,07/10/2013 16:12:42,07/10/2013 16:13:06
3,DSION PROPERTIES,07/10/2013 16:12:49,07/10/2013 16:13:09
3,DSION PROPERTIES,07/10/2013 16:13:09,07/10/2013 16:13:22
3,DSION PROPERTIES,07/10/2013 16:13:23,07/10/2013 16:13:41
4,DSION PROPERTIES,07/10/2013 16:13:36,07/10/2013 16:14:03
4,DSION PROPERTIES,07/10/2013 16:14:45,07/10/2013 16:14:58
4,DSION PROPERTIES,07/10/2013 16:15:13,07/10/2013 16:15:30
4,DSION PROPERTIES,07/10/2013 16:15:48,07/10/2013 16:16:02
4,DSION PROPERTIES,07/10/2013 16:16:45,07/10/2013 16:16:59
4,DSION PROPERTIES,07/10/2013 16:17:14,07/10/2013 16:17:31
3,DSION PROPERTIES,07/10/2013 16:17:21,07/10/2013 16:17:35
3,DSION PROPERTIES,07/10/2013 16:17:42,07/10/2013 16:18:10
3,DSION PROPERTIES,07/10/2013 16:18:42,07/10/2013 16:19:01
3,DSION PROPERTIES,07/10/2013 16:19:31,07/10/2013 16:19:45
4,DSION PROPERTIES,07/10/2013 16:19:37,07/10/2013 16:19:52
3,DSION PROPERTIES,07/10/2013 16:19:45,07/10/2013 16:19:59
2,DSION PROPERTIES,07/10/2013 16:05:40,07/10/2013 16:25:33
2,DSION PROPERTIES,07/10/2013 16:25:43,07/10/2013 16:25:56
2,DSION PROPERTIES,07/10/2013 16:26:01,07/10/2013 16:26:26
3,DSION PROPERTIES,07/10/2013 16:26:15,07/10/2013 16:26:53
4,DSION PROPERTIES,07/10/2013 16:26:43,07/10/2013 16:27:35
4,DSION PROPERTIES,07/10/2013 16:27:38,07/10/2013 16:27:43
3,DSION PROPERTIES,07/10/2013 16:27:40,07/10/2013 16:27:52
3,DSION PROPERTIES,07/10/2013 16:29:09,07/10/2013 16:29:20
3,DSION PROPERTIES,07/10/2013 16:29:22,07/10/2013 16:29:33
2,DSION PROPERTIES,07/10/2013 16:26:35,07/10/2013 16:29:44
2,DSION PROPERTIES,07/10/2013 16:29:56,07/10/2013 16:30:09
2,DSION PROPERTIES,07/10/2013 16:30:11,07/10/2013 16:30:24
2,DSION PROPERTIES,07/10/2013 16:31:58,07/10/2013 16:32:10
4,DSION PROPERTIES,07/10/2013 16:32:06,07/10/2013 16:32:23
4,DSION PROPERTIES,07/10/2013 16:33:42,07/10/2013 16:33:52
4,DSION PROPERTIES,07/10/2013 16:35:24,07/10/2013 16:35:36
4,DSION PROPERTIES,07/10/2013 16:36:02,07/10/2013 16:36:17
4,DSION PROPERTIES,07/10/2013 16:36:21,07/10/2013 16:36:38
4,DSION PROPERTIES,07/10/2013 16:43:45,07/10/2013 16:43:56
3,DSION PROPERTIES,07/10/2013 16:32:01,07/10/2013 16:43:58
5,DSION PROPERTIES,07/10/2013 16:44:27,07/10/2013 16:46:08
4,DSION PROPERTIES,07/10/2013 16:46:29,07/10/2013 16:46:41
4,DSION PROPERTIES,07/10/2013 16:47:11,07/10/2013 16:47:26
4,DSION PROPERTIES,07/10/2013 16:47:32,07/10/2013 16:47:44
2,DSION PROPERTIES,07/10/2013 16:47:34,07/10/2013 16:47:47
2,DSION PROPERTIES,07/10/2013 16:50:30,07/10/2013 16:50:44
5,DSION PROPERTIES,07/10/2013 16:46:15,07/10/2013 16:53:57
3,DSION PROPERTIES,07/10/2013 16:45:07,07/10/2013 16:54:15
5,DSION PROPERTIES,07/10/2013 16:55:56,07/10/2013 16:56:16
2,DSION PROPERTIES,07/10/2013 16:56:08,07/10/2013 16:56:21
2,DSION PROPERTIES,07/10/2013 16:56:54,07/10/2013 16:57:05
2,DSION PROPERTIES,07/10/2013 16:57:43,07/10/2013 16:57:57
2,DSION PROPERTIES,07/10/2013 16:58:38,07/10/2013 16:59:07
5,DSION PROPERTIES,07/10/2013 16:59:00,07/10/2013 17:00:02
5,DSION PROPERTIES,07/10/2013 17:01:05,07/10/2013 17:01:21
5,DSION PROPERTIES,07/10/2013 17:01:38,07/10/2013 17:02:06
2,DSION PROPERTIES,07/10/2013 17:01:53,07/10/2013 17:02:07
4,DSION PROPERTIES,07/10/2013 17:03:55,07/10/2013 17:04:07
1,DSION PROPERTIES,07/10/2013 17:03:58,07/10/2013 17:04:10
2,DSION PROPERTIES,07/10/2013 17:02:14,07/10/2013 17:04:14
5,DSION PROPERTIES,07/10/2013 17:02:27,07/10/2013 17:04:19
1,DSION PROPERTIES,07/10/2013 17:04:10,07/10/2013 17:04:31
2,DSION PROPERTIES,07/10/2013 17:04:31,07/10/2013 17:04:44
1,DSION PROPERTIES,07/10/2013 17:04:32,07/10/2013 17:04:45
1,DSION PROPERTIES,07/10/2013 17:05:47,07/10/2013 17:06:00
5,DSION PROPERTIES,07/10/2013 17:04:23,07/10/2013 17:06:07
1,DSION PROPERTIES,07/10/2013 17:06:06,07/10/2013 17:06:20
5,DSION PROPERTIES,07/10/2013 17:06:15,07/10/2013 17:06:28
5,DSION PROPERTIES,07/10/2013 17:06:31,07/10/2013 17:06:43
5,DSION PROPERTIES,07/10/2013 17:14:07,07/10/2013 17:15:57
5,DSION PROPERTIES,07/10/2013 17:15:57,07/10/2013 17:16:10
5,DSION PROPERTIES,07/10/2013 17:16:45,07/10/2013 17:16:57
5,DSION PROPERTIES,07/10/2013 17:17:51,07/10/2013 17:18:08
5,DSION PROPERTIES,07/10/2013 17:18:14,07/10/2013 17:18:27
5,DSION PROPERTIES,07/10/2013 17:18:28,07/10/2013 17:18:42
5,DSION PROPERTIES,07/10/2013 17:18:45,07/10/2013 17:19:02
3,DSION PROPERTIES,07/10/2013 16:54:18,07/10/2013 17:22:58
3,DSION PROPERTIES,07/10/2013 17:25:46,07/10/2013 17:26:34
3,DSION PROPERTIES,07/10/2013 17:26:46,07/10/2013 17:26:57
5,DSION PROPERTIES,07/10/2013 17:26:33,07/10/2013 17:27:11
1,DSION PROPERTIES,07/10/2013 17:27:08,07/10/2013 17:27:23
3,DSION PROPERTIES,07/10/2013 17:27:02,07/10/2013 17:45:54
5,DSION PROPERTIES,07/10/2013 17:45:54,07/10/2013 17:46:07
3,DSION PROPERTIES,07/10/2013 17:49:21,07/10/2013 17:49:35
1,DSION PROPERTIES,07/10/2013 17:37:40,07/10/2013 18:01:11
1,DSION PROPERTIES,07/10/2013 18:01:44,07/10/2013 18:02:27
1,DSION PROPERTIES,07/10/2013 18:02:37,07/10/2013 18:02:52
5,DSION PROPERTIES,07/10/2013 17:46:08,07/10/2013 18:03:29
1,DSION PROPERTIES,07/10/2013 18:03:25,07/10/2013 18:03:45
1,DSION PROPERTIES,07/10/2013 18:03:47,07/10/2013 18:04:05
3,DSION PROPERTIES,07/10/2013 18:04:42,07/10/2013 18:05:32
2,DSION PROPERTIES,07/10/2013 18:05:23,07/10/2013 18:05:37
5,DSION PROPERTIES,07/10/2013 18:04:01,07/10/2013 18:08:40
1,DSION PROPERTIES,07/10/2013 18:04:25,07/10/2013 18:08:50
5,DSION PROPERTIES,07/10/2013 18:15:26,07/10/2013 18:15:39
1,DSION PROPERTIES,07/10/2013 18:09:03,07/10/2013 18:18:53
2,DSION PROPERTIES,07/10/2013 18:18:09,07/10/2013 18:19:14
2,DSION PROPERTIES,07/10/2013 18:22:11,07/10/2013 18:22:22
1,DSION PROPERTIES,07/10/2013 18:22:13,07/10/2013 18:22:26
5,DSION PROPERTIES,07/10/2013 18:15:47,07/10/2013 18:24:09
2,DSION PROPERTIES,07/10/2013 18:24:00,07/10/2013 18:24:46
1,DSION PROPERTIES,07/10/2013 18:23:45,07/10/2013 18:25:07
5,DSION PROPERTIES,07/10/2013 18:24:31,07/10/2013 18:25:07
4,DSION PROPERTIES,07/10/2013 18:25:07,07/10/2013 18:25:07
5,DSION PROPERTIES,07/10/2013 18:25:08,07/10/2013 18:25:09
3,DSION PROPERTIES,07/10/2013 18:24:33,07/10/2013 18:25:14
4,DSION PROPERTIES,07/10/2013 18:25:14,07/10/2013 18:25:19
2,DSION PROPERTIES,07/10/2013 18:25:00,07/10/2013 18:25:21
5,DSION PROPERTIES,07/10/2013 18:25:09,07/10/2013 18:25:24
2,DSION PROPERTIES,07/10/2013 18:25:22,07/10/2013 18:25:31
1,DSION PROPERTIES,07/11/2013 10:27:48,07/11/2013 10:28:00
2,DSION PROPERTIES,07/11/2013 10:27:49,07/11/2013 10:28:13
2,DSION PROPERTIES,07/11/2013 10:28:13,07/11/2013 10:28:16
1,DSION PROPERTIES,07/11/2013 10:28:09,07/11/2013 10:28:23
2,DSION PROPERTIES,07/11/2013 10:28:17,07/11/2013 10:28:24
2,DSION PROPERTIES,07/11/2013 10:28:25,07/11/2013 10:28:26
1,DSION PROPERTIES,07/11/2013 10:29:13,07/11/2013 10:29:25
3,DSION PROPERTIES,07/11/2013 10:29:16,07/11/2013 10:29:31
4,DSION PROPERTIES,07/11/2013 10:29:18,07/11/2013 10:29:31
4,DSION PROPERTIES,07/11/2013 10:30:30,07/11/2013 10:30:43
4,DSION PROPERTIES,07/11/2013 10:30:53,07/11/2013 10:31:05
3,DSION PROPERTIES,07/11/2013 10:30:55,07/11/2013 10:31:08
4,DSION PROPERTIES,07/11/2013 10:31:07,07/11/2013 10:31:23
4,DSION PROPERTIES,07/11/2013 10:32:25,07/11/2013 10:32:41
4,DSION PROPERTIES,07/11/2013 10:33:57,07/11/2013 10:34:09
4,DSION PROPERTIES,07/11/2013 10:34:15,07/11/2013 10:34:27
3,DSION PROPERTIES,07/11/2013 10:34:16,07/11/2013 10:34:28
1,DSION PROPERTIES,07/11/2013 10:34:26,07/11/2013 10:34:39
4,DSION PROPERTIES,07/11/2013 10:34:27,07/11/2013 10:34:41
4,DSION PROPERTIES,07/11/2013 10:46:24,07/11/2013 10:46:37
4,DSION PROPERTIES,07/11/2013 10:49:11,07/11/2013 10:49:11
4,DSION PROPERTIES,07/11/2013 10:49:11,07/11/2013 10:49:23
4,DSION PROPERTIES,07/11/2013 10:50:03,07/11/2013 10:50:20
1,DSION PROPERTIES,07/11/2013 10:50:14,07/11/2013 10:50:28
3,DSION PROPERTIES,07/11/2013 10:50:18,07/11/2013 10:50:30
2,DSION PROPERTIES,07/11/2013 10:28:26,07/11/2013 10:51:18
3,DSION PROPERTIES,07/11/2013 10:51:20,07/11/2013 10:51:34
3,DSION PROPERTIES,07/11/2013 10:52:27,07/11/2013 10:52:42
1,DSION PROPERTIES,07/11/2013 10:52:39,07/11/2013 10:54:00
1,DSION PROPERTIES,07/11/2013 10:54:28,07/11/2013 10:54:42
1,DSION PROPERTIES,07/11/2013 10:55:13,07/11/2013 10:55:28
1,DSION PROPERTIES,07/11/2013 10:56:20,07/11/2013 10:56:32
3,DSION PROPERTIES,07/11/2013 10:56:28,07/11/2013 10:57:09
3,DSION PROPERTIES,07/11/2013 10:58:34,07/11/2013 10:58:48
2,DSION PROPERTIES,07/11/2013 10:51:18,07/11/2013 10:59:20
3,DSION PROPERTIES,07/11/2013 10:59:18,07/11/2013 10:59:33
2,DSION PROPERTIES,07/11/2013 10:59:20,07/11/2013 10:59:34
1,DSION PROPERTIES,07/11/2013 10:59:24,07/11/2013 10:59:42
1,DSION PROPERTIES,07/11/2013 10:59:42,07/11/2013 10:59:44
2,DSION PROPERTIES,07/11/2013 10:59:37,07/11/2013 10:59:52
1,DSION PROPERTIES,07/11/2013 10:59:48,07/11/2013 10:59:54
2,DSION PROPERTIES,07/11/2013 11:00:07,07/11/2013 11:00:20
2,DSION PROPERTIES,07/11/2013 11:00:29,07/11/2013 11:00:41
2,DSION PROPERTIES,07/11/2013 11:00:50,07/11/2013 11:01:02
3,DSION PROPERTIES,07/11/2013 11:00:57,07/11/2013 11:01:09
3,DSION PROPERTIES,07/11/2013 11:01:14,07/11/2013 11:01:27
3,DSION PROPERTIES,07/11/2013 11:02:17,07/11/2013 11:02:29
3,DSION PROPERTIES,07/11/2013 11:02:29,07/11/2013 11:02:49
1,DSION PROPERTIES,07/11/2013 10:59:54,07/11/2013 11:04:53
1,DSION PROPERTIES,07/11/2013 11:08:57,07/11/2013 11:09:21
3,DSION PROPERTIES,07/11/2013 11:14:17,07/11/2013 11:14:30
3,DSION PROPERTIES,07/11/2013 11:14:33,07/11/2013 11:14:45
2,DSION PROPERTIES,07/11/2013 11:29:07,07/11/2013 11:29:23
3,DSION PROPERTIES,07/11/2013 11:29:05,07/11/2013 11:29:24
3,DSION PROPERTIES,07/11/2013 11:29:41,07/11/2013 11:29:56
3,DSION PROPERTIES,07/11/2013 11:29:56,07/11/2013 11:30:11
1,DSION PROPERTIES,07/11/2013 11:12:18,07/11/2013 11:30:18
3,DSION PROPERTIES,07/11/2013 11:30:11,07/11/2013 11:30:28
1,DSION PROPERTIES,07/11/2013 11:30:18,07/11/2013 11:30:33
3,DSION PROPERTIES,07/11/2013 11:30:57,07/11/2013 11:31:10
2,DSION PROPERTIES,07/11/2013 11:31:05,07/11/2013 11:31:19
1,DSION PROPERTIES,07/11/2013 11:30:44,07/11/2013 11:31:28
1,DSION PROPERTIES,07/11/2013 11:31:30,07/11/2013 11:32:09
3,DSION PROPERTIES,07/11/2013 11:31:48,07/11/2013 11:32:37
4,DSION PROPERTIES,07/11/2013 11:31:59,07/11/2013 11:32:42
1,DSION PROPERTIES,07/11/2013 11:32:31,07/11/2013 11:32:44
5,DSION PROPERTIES,07/11/2013 11:32:31,07/11/2013 11:32:49
5,DSION PROPERTIES,07/11/2013 11:33:10,07/11/2013 11:33:22
1,DSION PROPERTIES,07/11/2013 11:33:12,07/11/2013 11:33:29
1,DSION PROPERTIES,07/11/2013 11:33:34,07/11/2013 11:33:48
1,DSION PROPERTIES,07/11/2013 11:33:54,07/11/2013 11:34:28
5,DSION PROPERTIES,07/11/2013 11:34:13,07/11/2013 11:34:36
4,DSION PROPERTIES,07/11/2013 11:34:28,07/11/2013 11:34:42
1,DSION PROPERTIES,07/11/2013 11:34:35,07/11/2013 11:34:49
5,DSION PROPERTIES,07/11/2013 11:34:36,07/11/2013 11:35:06
1,DSION PROPERTIES,07/11/2013 11:34:52,07/11/2013 11:35:44
5,DSION PROPERTIES,07/11/2013 11:35:18,07/11/2013 11:35:54
1,DSION PROPERTIES,07/11/2013 11:35:46,07/11/2013 11:35:59
5,DSION PROPERTIES,07/11/2013 11:35:54,07/11/2013 11:36:09
3,DSION PROPERTIES,07/11/2013 11:35:58,07/11/2013 11:36:19
4,DSION PROPERTIES,07/11/2013 11:35:50,07/11/2013 11:36:53
5,DSION PROPERTIES,07/11/2013 11:36:44,07/11/2013 11:36:59
3,DSION PROPERTIES,07/11/2013 11:36:27,07/11/2013 11:37:08
3,DSION PROPERTIES,07/11/2013 11:37:21,07/11/2013 11:37:43
2,DSION PROPERTIES,07/11/2013 11:31:26,07/11/2013 11:38:03
3,DSION PROPERTIES,07/11/2013 11:37:53,07/11/2013 11:38:04
5,DSION PROPERTIES,07/11/2013 11:37:40,07/11/2013 11:38:14
2,DSION PROPERTIES,07/11/2013 11:38:08,07/11/2013 11:38:18
